#clade_name	relative_abundance
d__Bacteria	100.0
d__Bacteria;p__Firmicutes	100.0
d__Bacteria;p__Firmicutes;c__Bacilli	100.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	100.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	100.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	100.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis_BM	68.56602
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus salivarius	31.43398
